activity_id,data,nome,tipo,duracao_s,distancia_m,calorias,fc_media,fc_maxima,velocidade_media,velocidade_maxima,elevacao_ganho,efeito_aerobico,efeito_anaerobico,carga_atividade,label_efeito,min_moderados,min_vigorosos,body_battery_impacto,temperatura_min,temperatura_max,local,hr_zona_1_s,hr_zona_2_s,hr_zona_3_s,hr_zona_4_s,hr_zona_5_s
23341058700,2026-06-22,Pool Swim,lap_swimming,3102.26611328125,1300.0,376.0,118.0,154.0,0.6949999928474426,1.5019999742507935,,2.0,0.20000000298023224,28.6522216796875,AEROBIC_BASE,31,14,,,,,1398.178,1348.006,16.001,0.0,0.0
23341057740,2026-06-22,São Vicente Cycling,cycling,2929.159912109375,16982.380859375,306.0,110.0,124.0,5.7979998588562,7.230999946594238,34.0,1.2000000476837158,0.0,13.80438232421875,RECOVERY,46,0,-8,18.0,28.0,São Vicente,2574.759,328.441,0.0,0.0,0.0
23329526320,2026-06-21,São Vicente Running,running,3224.160888671875,9006.169921875,607.0,140.0,181.0,2.7929999828338623,3.9100000858306885,118.0,3.0999999046325684,0.0,82.63124084472656,AEROBIC_BASE,5,50,-23,26.0,31.0,São Vicente,228.984,2045.316,855.523,71.927,0.0
23320431052,2026-06-20,São Vicente Open Water Swimming,open_water_swimming,1667.279052734375,1004.5499877929688,224.0,123.0,162.0,0.6029999852180481,1.0470000505447388,,2.0,0.8999999761581421,36.6527099609375,AEROBIC_BASE,15,21,-4,22.0,26.0,São Vicente,696.864,954.098,16.287,0.0,0.0
23316170330,2026-06-20,São Vicente Cycling,cycling,8100.81787109375,52250.12109375,952.0,123.0,159.0,6.449999809265137,10.833000183105469,82.0,2.5,0.30000001192092896,52.65281677246094,AEROBIC_BASE,122,15,-22,20.0,26.0,São Vicente,1011.935,6959.884,124.978,0.0,0.0
23304127965,2026-06-19,Pool Swim,lap_swimming,2510.761962890625,1400.0,288.0,115.0,148.0,0.6669999957084656,0.8889999985694885,,2.0,0.10000000149011612,25.67523193359375,RECOVERY,26,10,,,,,1507.095,695.411,0.0,0.0,0.0
23292721509,2026-06-18,São Vicente Running,running,3266.27392578125,8983.83984375,598.0,137.0,179.0,2.75,4.14300012588501,113.0,3.0,0.10000000149011612,74.80612182617188,AEROBIC_BASE,5,53,-16,20.0,25.0,São Vicente,80.689,2783.765,382.01,0.0,0.0
23292718882,2026-06-17,Pool Swim,lap_swimming,3258.719970703125,1700.0,394.0,118.0,167.0,0.662000000476837,0.8849999904632568,,2.0999999046325684,1.5,48.31849670410156,AEROBIC_BASE,28,17,,,,,1838.965,1094.628,71.96,0.0,0.0
23292718149,2026-06-17,São Vicente Cycling,cycling,2859.4609375,17113.94921875,310.0,112.0,132.0,5.985000133514404,7.501999855041504,27.0,1.2999999523162842,0.0,14.766494750976562,RECOVERY,43,2,-7,19.0,28.0,São Vicente,1976.729,821.103,0.0,0.0,0.0
23267482972,2026-06-16,São Vicente Cycling,cycling,2373.51806640625,17045.119140625,471.0,143.0,175.0,7.181000232696533,8.967000007629395,23.0,3.200000047683716,1.7000000476837158,111.96754455566406,AEROBIC_BASE,6,36,-14,19.0,27.0,São Vicente,166.68,888.783,703.361,605.016,0.0
