data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-04-29,461.0,84.0,283.0,94.0,5.0,0,,90,EXCELLENT,20,FAIR,18,EXCELLENT,61,EXCELLENT,GOOD,EXCELLENT,POSITIVE_OPTIMAL_STRUCTURE,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,,45,12.0,7.0,18.0,14.0,69,480,480,NO_CHANGE,INCREASING
2025-04-30,394.0,61.0,281.0,52.0,1.0,0,,74,FAIR,13,FAIR,15,FAIR,71,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,,46,12.0,7.0,17.0,21.0,55,480,460,NO_CHANGE,NO_CHANGE
2025-05-01,420.0,61.0,290.0,69.0,0.0,0,,81,GOOD,16,FAIR,15,FAIR,69,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_CONTINUOUS,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_MODERATE_DURING_DAY,,,,47,12.0,7.0,20.0,19.0,52,480,480,NO_CHANGE,NO_CHANGE
2025-05-02,424.6,119.0,255.0,51.0,2.0,0,,80,GOOD,12,FAIR,28,EXCELLENT,60,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,,45,12.0,8.0,17.0,16.0,64,480,480,NO_CHANGE,NO_CHANGE
2025-05-03,433.0,78.0,281.0,74.0,0.0,0,,82,GOOD,17,FAIR,18,EXCELLENT,65,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_CONTINUOUS,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_MODERATE_DURING_DAY,,,,46,13.0,7.0,20.0,16.0,61,480,480,NO_CHANGE,NO_CHANGE
2025-05-04,420.0,78.0,327.0,15.0,1.0,0,,65,FAIR,4,POOR,19,EXCELLENT,78,FAIR,GOOD,EXCELLENT,NEGATIVE_NOT_ENOUGH_REM,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY,,,,44,12.0,7.0,18.0,15.0,58,480,480,NO_CHANGE,NO_CHANGE
2025-05-05,486.0,120.0,266.0,100.0,4.0,0,,87,GOOD,21,FAIR,25,EXCELLENT,55,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_DEEP,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,,48,13.0,7.0,20.0,21.0,57,480,480,NO_CHANGE,NO_CHANGE
2025-05-06,417.0,56.0,299.0,62.0,4.0,0,,78,FAIR,15,FAIR,13,FAIR,72,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,,47,13.0,8.0,20.0,17.0,53,480,480,NO_CHANGE,NO_CHANGE
2025-05-07,421.0,92.0,265.0,64.0,0.0,0,,81,GOOD,15,FAIR,22,EXCELLENT,63,FAIR,GOOD,EXCELLENT,POSITIVE_DEEP,RHYTHM_POS_GOOD_SLEEP_EXCELLENT_TIMING,,,,46,12.0,7.0,20.0,15.0,62,480,480,NO_CHANGE,NO_CHANGE
2025-05-08,414.0,107.0,226.0,81.0,6.0,0,,79,FAIR,20,FAIR,26,EXCELLENT,55,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,RHYTHM_POS_FAIR_OR_POOR_SLEEP_EXCELLENT_TIMING,,,,46,13.0,6.0,19.0,21.0,62,480,480,NO_CHANGE,NO_CHANGE
2025-05-09,437.0,91.0,268.0,78.0,5.0,0,,85,GOOD,18,FAIR,21,EXCELLENT,61,GOOD,GOOD,EXCELLENT,POSITIVE_LONG_AND_DEEP,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_MODERATE_DURING_DAY,,,,47,13.0,7.0,18.0,14.0,68,480,480,NO_CHANGE,NO_CHANGE
2025-05-10,410.0,51.0,299.0,60.0,4.0,0,,78,FAIR,15,FAIR,12,FAIR,73,FAIR,GOOD,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,,44,12.0,6.0,19.0,15.0,65,480,480,NO_CHANGE,NO_CHANGE
